date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg
26/02/2010,0,7.6,0,1.8, , ,0,0.1,983.8,8.3,0,14,0,230,0,20
27/02/2010,0,8.6,0,-2.4, , ,0,0.1,985,4.3,0,9,0,170,0,14
28/02/2010,0,8.8,0,-3.3, , ,0,0,992.9,4.9,0,17,0,290,0,24
01/03/2010,0,10,0,-4.3, , ,0,0,1006.3,2.3,0,6,0,50,0,8
02/03/2010,0,8.2,0,-1.8, , ,0,0,1014.4,7.1,0,12,0,120,0,19
03/03/2010,0,5.6,0,1.4, , ,0,12.5,1013.6,5.4,0,8,0,110,0,13
04/03/2010,0,7.7,0,-0.9, , ,0,0,1022.1,4.7,0,9,0,60,0,13
05/03/2010,0,9.7,0,-4.7, , ,0,0.1,1028.4,2.4,0,6,0,320,0,9
06/03/2010,0,8.6,0,-4.1, , ,0,0,1025.2,2.8,0,8,0,70,0,12
07/03/2010,0,7.8,0,-2.1, , ,0,0,1025.6,6.5,0,12,0,120,0,18
08/03/2010,0,7.8,0,-5.7, , ,0,0,1025.3,6.2,0,12,0,100,0,18
09/03/2010,0,9.2,0,-4.5, , ,0,0,1027.7,4.3,0,7,0,60,0,11
10/03/2010,0,8.9,0,-4.4, , ,0,0,1027.6,3.6,0,8,0,80,0,11
11/03/2010,0,9.4,0,-5.3, , ,0,0,1024.6,3,0,7,0,320,0,12
12/03/2010,0,11,0,2.1, , ,0,0.3,1025.2,6.5,0,12,0,350,0,17
13/03/2010,0,10.7,0,1.5, , ,0,0.1,1029.4,4.4,0,10,0,320,0,14
14/03/2010,0,11,0,-1.9, , ,0,0,1028.8,4.2,0,11,0,230,0,16
15/03/2010,0,10.7,0,1.9, , ,0,0,1023.5,4.1,0,11,0,240,0,16
16/03/2010,0,9.9,0,2.7, , ,0,0,1013.4,9.4,0,16,0,160,0,28
17/03/2010,0,13.9,0,7.8, , ,0,0.2,1006.1,9.7,0,16,0,190,0,23
18/03/2010,0,13.6,0,8.9, , ,0,1.3,997.5,15.3,0,25,0,210,0,45
19/03/2010,0,11.3,0,4.1, , ,0,0.2,1000.6,5.8,0,16,0,220,0,26
20/03/2010,0,12.3,0,3.1, , ,0,0.1,1001.6,5.8,0,11,0,330,0,19
21/03/2010,0,12.6,0,3.7, , ,0,1.3,1003.7,7.3,0,17,0,170,0,28
22/03/2010,0,10.5,0,3.9, , ,0,6.2,1002.7,10.9,0,22,0,230,0,35
23/03/2010,0,10.2,0,5, , ,0,0.8,1000.7,9.5,0,15,0,170,0,25
24/03/2010,0,11.8,0,4.4, , ,0,10.8,991.7,6.5,0,12,0,250,0,18
25/03/2010,0,13.1,0,5.8, , ,0,3.3,989.2,8.2,0,13,0,70,0,20
26/03/2010,0,13.2,0,3.9, , ,0,0.6,990.8,3.9,0,10,0,340,0,15
27/03/2010,0,11.5,0,3.8, , ,0,0.3,1000.2,7.4,0,16,0,240,0,23
28/03/2010,0,10.7,0,2.7, , ,0,0,1000.7,3.9,0,8,0,300,0,12
29/03/2010,0,4.9,0,1, , ,0,26.1,990.5,11.3,0,19,0,50,0,29
30/03/2010,0,4.7,0,2.6, , ,0,7.5,986.5,15.7,0,21,0,310,0,34
31/03/2010,0,6.9,0,-0.8, , ,0,1.6,996.5,12.2,0,21,0,300,0,32
01/04/2010,0,9.6,0,-0.4, , ,0,0.4,997.1,5.2,0,11,0,230,0,16
02/04/2010,0,10.3,0,3.1, , ,0,7.7,988.6,7.2,0,17,0,80,0,24
03/04/2010,0,10.3,0,1.4, , ,0,0.3,997.6,8.2,0,16,0,310,0,29
04/04/2010,0,9.3,0,-1.1, , ,0,10.8,1004.9,8.3,0,17,0,180,0,29
05/04/2010,0,13.5,0,7.4, , ,0,21.7,999,14.4,0,27,0,190,0,40
06/04/2010,0,11.7,0,3.2, , ,0,11.1,1003.6,5.4,0,14,0,240,0,21
07/04/2010,0,11.1,0,1.5, , ,0,0.8,1017.1,7.2,0,17,0,240,0,23
08/04/2010,0,12.4,0,5.6, , ,0,0,1024.9,5.6,0,12,0,240,0,16
09/04/2010,0,15.2,0,4.5, , ,0,0,1025.5,6.1,0,13,0,160,0,20
10/04/2010,0,18.5,0,4.5, , ,0,0,1026,5.6,0,10,0,170,0,16
11/04/2010,0,18.4,0,3, , ,0,0,1025.6,3.7,0,8,0,0,0,12
12/04/2010,0,17,0,3.1, , ,0,0,1025.4,4.9,0,9,0,50,0,14
13/04/2010,0,16.1,0,2.3, , ,0,0,1023.6,5,0,10,0,60,0,14
14/04/2010,0,12.6,0,5, , ,0,0,1021.2,6.4,0,13,0,50,0,20
15/04/2010,0,15,0,2.5, , ,0,0,1023.1,6.6,0,11,0,50,0,16
16/04/2010,0,15.4,0,1.2, , ,0,0,1023.4,4,0,8,0,80,0,12
17/04/2010,0,13.7,0,1, , ,0,0,1017.2,3.5,0,8,0,240,0,11
18/04/2010,0,13.4,0,2.1, , ,0,0,1013.2,3.3,0,8,0,270,0,13
19/04/2010,0,12.5,0,1.2, , ,0,0.6,1015.2,5.3,0,9,0,280,0,15
20/04/2010,0,11.6,0,-1.8, , ,0,0,1017.8,4.2,0,9,0,350,0,14
21/04/2010,0,12.1,0,-1.1, , ,0,0,1018.2,4.8,0,9,0,110,0,15
22/04/2010,0,13,0,3.4, , ,0,0,1013.4,4.2,0,8,0,100,0,15
23/04/2010,0,15.7,0,5.9, , ,0,0,1008.3,5.6,0,10,0,200,0,15
24/04/2010,0,15,0,6.1, , ,0,6,1006,6.3,0,12,0,150,0,19
25/04/2010,0,15.2,0,9.2, , ,0,2.1,1010.3,8,0,15,0,240,0,21
26/04/2010,0,16.8,0,9.4, , ,0,1.2,1017.9,5,0,10,0,250,0,14
27/04/2010,0,14.8,0,10.6, , ,0,5,1014.2,9.9,0,16,0,160,0,24
28/04/2010,0,16.4,0,9.3, , ,0,1.4,1007.6,11.4,0,19,0,230,0,26
29/04/2010,0,13.4,0,6.8, , ,0,0.6,1004.7,8,0,16,0,230,0,23
30/04/2010,0,14.5,0,7.3, , ,0,7.1,1002.5,6.6,0,13,0,230,0,18
01/05/2010,0,13,0,7.3, , ,0,8.8,1006.9,4,0,11,0,320,0,21
02/05/2010,0,11.8,0,4.8, , ,0,0.4,1016.1,9.2,0,15,0,340,0,28
03/05/2010,0,13,0,3.3, , ,0,0,1025.2,7.8,0,13,0,350,0,21
04/05/2010,0,13.2,0,3, , ,0,0,1027.2,6,0,10,0,310,0,15
05/05/2010,0,14.7,0,8.4, , ,0,0.3,1020.2,7.3,0,13,0,310,0,19
06/05/2010,0,14.6,0,6.1, , ,0,0,1013,9.8,0,15,0,350,0,24
07/05/2010,0,12.8,0,2.7, , ,0,0,1013.1,8.2,0,15,0,60,0,23
08/05/2010,0,15,0,2.8, , ,0,0,1014.3,7.8,0,15,0,60,0,22
09/05/2010,0,14.9,0,0.7, , ,0,0,1012.2,6.1,0,13,0,350,0,21
10/05/2010,0,11.8,0,3.3, , ,0,0,1013.3,8.3,0,15,0,350,0,25
11/05/2010,0,11.8,0,0.3, , ,0,1.5,1013.2,5.2,0,12,0,230,0,18
12/05/2010,0,12.3,0,0.4, , ,0,0.1,1012.5,5.1,0,10,0,350,0,18
13/05/2010,0,12.2,0,5.4, , ,0,1.5,1006,7,0,14,0,240,0,20
14/05/2010,0,14.6,0,2.4, , ,0,0.5,1007.6,7.9,0,16,0,320,0,23
15/05/2010,0,13.2,0,4.6, , ,0,2.9,1011.3,8.5,0,16,0,220,0,25
