,maxtp,mintp,cbl,wdsp,hm,ddhm,rain
0,7.6,1.8,983.8,8.3,14,230,0.1
1,8.6,-2.4,985,4.3,9,170,0.1
2,8.8,-3.3,992.9,4.9,17,290,0.0
3,10.0,-4.3,1006.3,2.3,6,50,0.0
4,8.2,-1.8,1014.4,7.1,12,120,0.0
5,5.6,1.4,1013.6,5.4,8,110,12.5
6,7.7,-0.9,1022.1,4.7,9,60,0.0
7,9.7,-4.7,1028.4,2.4,6,320,0.1
8,8.6,-4.1,1025.2,2.8,8,70,0.0
9,7.8,-2.1,1025.6,6.5,12,120,0.0
10,7.8,-5.7,1025.3,6.2,12,100,0.0
11,9.2,-4.5,1027.7,4.3,7,60,0.0
12,8.9,-4.4,1027.6,3.6,8,80,0.0
13,9.4,-5.3,1024.6,3.0,7,320,0.0
14,11.0,2.1,1025.2,6.5,12,350,0.3
15,10.7,1.5,1029.4,4.4,10,320,0.1
16,11.0,-1.9,1028.8,4.2,11,230,0.0
17,10.7,1.9,1023.5,4.1,11,240,0.0
18,9.9,2.7,1013.4,9.4,16,160,0.0
19,13.9,7.8,1006.1,9.7,16,190,0.2
20,13.6,8.9,997.5,15.3,25,210,1.3
21,11.3,4.1,1000.6,5.8,16,220,0.2
22,12.3,3.1,1001.6,5.8,11,330,0.1
23,12.6,3.7,1003.7,7.3,17,170,1.3
24,10.5,3.9,1002.7,10.9,22,230,6.2
25,10.2,5.0,1000.7,9.5,15,170,0.8
26,11.8,4.4,991.7,6.5,12,250,10.8
27,13.1,5.8,989.2,8.2,13,70,3.3
28,13.2,3.9,990.8,3.9,10,340,0.6
29,11.5,3.8,1000.2,7.4,16,240,0.3
30,10.7,2.7,1000.7,3.9,8,300,0.0
31,4.9,1.0,990.5,11.3,19,50,26.1
32,4.7,2.6,986.5,15.7,21,310,7.5
33,6.9,-0.8,996.5,12.2,21,300,1.6
34,9.6,-0.4,997.1,5.2,11,230,0.4
35,10.3,3.1,988.6,7.2,17,80,7.7
36,10.3,1.4,997.6,8.2,16,310,0.3
37,9.3,-1.1,1004.9,8.3,17,180,10.8
38,13.5,7.4,999,14.4,27,190,21.7
39,11.7,3.2,1003.6,5.4,14,240,11.1
40,11.1,1.5,1017.1,7.2,17,240,0.8
41,12.4,5.6,1024.9,5.6,12,240,0.0
