Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Göteborg A;71420;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1969-05-31 23:59:59;30.0;57.7000;11.9700
1969-07-01 00:00:00;1972-04-30 23:59:59;40.0;57.7200;12.0200
1972-05-01 00:00:00;1976-10-01 23:59:59;4.0;57.7000;11.9800
1983-04-01 00:00:00;1995-09-30 23:59:59;23.0;57.7084;11.9939
1995-10-01 00:00:00;1998-05-31 23:59:59;5.0;57.7080;11.9938
1999-03-01 00:00:00;2020-12-18 04:00:00;3.038;57.7156;11.9924

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2020-08-10 00:00:01;2020-08-11 00:00:00;2020-08-10;21.8;Y;;Data från senaste fyra månaderna
2020-08-11 00:00:01;2020-08-12 00:00:00;2020-08-11;22.4;Y;;Tidsperiod (fr.o.m.) = 2020-08-10 00:00:01 (UTC)
2020-08-12 00:00:01;2020-08-13 00:00:00;2020-08-12;22.1;Y;;Tidsperiod (t.o.m.) = 2020-12-18 04:00:00 (UTC)
2020-08-13 00:00:01;2020-08-14 00:00:00;2020-08-13;21.0;Y;;Medelvärdet är beräknat för = 24 timmar
2020-08-14 00:00:01;2020-08-15 00:00:00;2020-08-14;21.8;Y;;
2020-08-15 00:00:01;2020-08-16 00:00:00;2020-08-15;21.5;Y;;Kvalitetskoderna:
2020-08-16 00:00:01;2020-08-17 00:00:00;2020-08-16;22.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2020-08-17 00:00:01;2020-08-18 00:00:00;2020-08-17;24.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2020-08-18 00:00:01;2020-08-19 00:00:00;2020-08-18;23.6;Y;;
2020-08-19 00:00:01;2020-08-20 00:00:00;2020-08-19;21.5;Y;;Orsaker till saknade data:
2020-08-20 00:00:01;2020-08-21 00:00:00;2020-08-20;20.4;Y;;  stationen eller givaren har varit ur funktion.
2020-08-21 00:00:01;2020-08-22 00:00:00;2020-08-21;20.1;Y
2020-08-22 00:00:01;2020-08-23 00:00:00;2020-08-22;19.9;Y
2020-08-23 00:00:01;2020-08-24 00:00:00;2020-08-23;18.6;Y
2020-08-24 00:00:01;2020-08-25 00:00:00;2020-08-24;16.3;Y
2020-08-25 00:00:01;2020-08-26 00:00:00;2020-08-25;16.0;Y
2020-08-26 00:00:01;2020-08-27 00:00:00;2020-08-26;13.8;Y
2020-08-27 00:00:01;2020-08-28 00:00:00;2020-08-27;17.2;Y
2020-08-28 00:00:01;2020-08-29 00:00:00;2020-08-28;14.0;Y
2020-08-29 00:00:01;2020-08-30 00:00:00;2020-08-29;14.9;Y
2020-08-30 00:00:01;2020-08-31 00:00:00;2020-08-30;14.2;Y
2020-08-31 00:00:01;2020-09-01 00:00:00;2020-08-31;14.4;Y
2020-09-01 00:00:01;2020-09-02 00:00:00;2020-09-01;15.4;Y
2020-09-02 00:00:01;2020-09-03 00:00:00;2020-09-02;16.5;Y
2020-09-03 00:00:01;2020-09-04 00:00:00;2020-09-03;15.5;Y
2020-09-04 00:00:01;2020-09-05 00:00:00;2020-09-04;17.0;Y
2020-09-05 00:00:01;2020-09-06 00:00:00;2020-09-05;15.3;Y
2020-09-06 00:00:01;2020-09-07 00:00:00;2020-09-06;14.9;Y
2020-09-07 00:00:01;2020-09-08 00:00:00;2020-09-07;14.9;Y
2020-09-08 00:00:01;2020-09-09 00:00:00;2020-09-08;16.5;Y
2020-09-09 00:00:01;2020-09-10 00:00:00;2020-09-09;16.3;Y
2020-09-10 00:00:01;2020-09-11 00:00:00;2020-09-10;14.9;Y
2020-09-11 00:00:01;2020-09-12 00:00:00;2020-09-11;14.7;Y
2020-09-12 00:00:01;2020-09-13 00:00:00;2020-09-12;14.3;Y
2020-09-13 00:00:01;2020-09-14 00:00:00;2020-09-13;14.4;Y
2020-09-14 00:00:01;2020-09-15 00:00:00;2020-09-14;17.0;Y
2020-09-15 00:00:01;2020-09-16 00:00:00;2020-09-15;16.3;Y
2020-09-16 00:00:01;2020-09-17 00:00:00;2020-09-16;16.0;Y
2020-09-17 00:00:01;2020-09-18 00:00:00;2020-09-17;11.0;Y
2020-09-18 00:00:01;2020-09-19 00:00:00;2020-09-18;13.5;Y
2020-09-19 00:00:01;2020-09-20 00:00:00;2020-09-19;16.1;Y
2020-09-20 00:00:01;2020-09-21 00:00:00;2020-09-20;14.4;Y
2020-09-21 00:00:01;2020-09-22 00:00:00;2020-09-21;14.3;Y
2020-09-22 00:00:01;2020-09-23 00:00:00;2020-09-22;14.4;Y
2020-09-23 00:00:01;2020-09-24 00:00:00;2020-09-23;15.8;Y
2020-09-24 00:00:01;2020-09-25 00:00:00;2020-09-24;16.3;Y
2020-09-25 00:00:01;2020-09-26 00:00:00;2020-09-25;13.4;Y
2020-09-26 00:00:01;2020-09-27 00:00:00;2020-09-26;15.0;Y
2020-09-27 00:00:01;2020-09-28 00:00:00;2020-09-27;15.8;Y
2020-09-28 00:00:01;2020-09-29 00:00:00;2020-09-28;16.3;Y
2020-09-29 00:00:01;2020-09-30 00:00:00;2020-09-29;14.0;Y
2020-09-30 00:00:01;2020-10-01 00:00:00;2020-09-30;14.4;Y
2020-10-01 00:00:01;2020-10-02 00:00:00;2020-10-01;13.5;Y
2020-10-02 00:00:01;2020-10-03 00:00:00;2020-10-02;15.7;Y
2020-10-03 00:00:01;2020-10-04 00:00:00;2020-10-03;15.4;Y
