date,value
"['2016-01-01T00:00:00', 122]"
"['2016-01-02T00:00:00', 122]"
"['2016-01-03T00:00:00', 119]"
"['2016-01-04T00:00:00', 156]"
"['2016-01-05T00:00:00', 146]"
"['2016-01-06T00:00:00', 128]"
"['2016-01-07T00:00:00', 117]"
"['2016-01-08T00:00:00', 116]"
"['2016-01-09T00:00:00', 114]"
"['2016-01-10T00:00:00', 133]"
"['2016-01-11T00:00:00', 137]"
"['2016-01-12T00:00:00', 127]"
"['2016-01-13T00:00:00', 119]"
"['2016-01-14T00:00:00', 137]"
"['2016-01-15T00:00:00', 134]"
"['2016-01-16T00:00:00', 143]"
"['2016-01-17T00:00:00', 144]"
"['2016-01-18T00:00:00', 151]"
"['2016-01-19T00:00:00', 158]"
"['2016-01-20T00:00:00', 227]"
"['2016-01-21T00:00:00', 205]"
"['2016-01-22T00:00:00', 148]"
"['2016-01-23T00:00:00', 143]"
"['2016-01-24T00:00:00', 124]"
"['2016-01-25T00:00:00', 138]"
"['2016-01-26T00:00:00', 148]"
"['2016-01-27T00:00:00', 148]"
"['2016-01-28T00:00:00', 143]"
"['2016-01-29T00:00:00', 138]"
"['2016-01-30T00:00:00', 154]"
"['2016-01-31T00:00:00', 148]"
"['2016-02-01T00:00:00', 113]"
"['2016-02-02T00:00:00', 96]"
"['2016-02-03T00:00:00', 113]"
"['2016-02-04T00:00:00', 129]"
"['2016-02-05T00:00:00', 151]"
"['2016-02-06T00:00:00', 176]"
"['2016-02-07T00:00:00', 184]"
"['2016-02-08T00:00:00', 202]"
"['2016-02-09T00:00:00', 223]"
"['2016-02-10T00:00:00', 206]"
"['2016-02-11T00:00:00', 188]"
"['2016-02-12T00:00:00', 184]"
"['2016-02-13T00:00:00', 154]"
"['2016-02-14T00:00:00', 149]"
"['2016-02-15T00:00:00', 207]"
"['2016-02-16T00:00:00', 219]"
"['2016-02-17T00:00:00', 186]"
"['2016-02-18T00:00:00', 156]"
"['2016-02-19T00:00:00', 146]"
"['2016-02-20T00:00:00', 146]"
"['2016-02-21T00:00:00', 150]"
"['2016-02-22T00:00:00', 163]"
"['2016-02-23T00:00:00', 188]"
"['2016-02-24T00:00:00', 202]"
"['2016-02-25T00:00:00', 191]"
"['2016-02-26T00:00:00', 174]"
"['2016-02-27T00:00:00', 171]"
"['2016-02-28T00:00:00', 169]"
"['2016-02-29T00:00:00', 166]"
"['2016-03-01T00:00:00', 161]"
"['2016-03-02T00:00:00', 164]"
"['2016-03-03T00:00:00', 161]"
"['2016-03-04T00:00:00', 158]"
"['2016-03-05T00:00:00', 166]"
"['2016-03-06T00:00:00', 163]"
"['2016-03-07T00:00:00', 141]"
"['2016-03-08T00:00:00', 124]"
"['2016-03-09T00:00:00', 155]"
"['2016-03-10T00:00:00', 169]"
"['2016-03-11T00:00:00', 162]"
"['2016-03-12T00:00:00', 133]"
"['2016-03-13T00:00:00', 140]"
"['2016-03-14T00:00:00', 164]"
"['2016-03-15T00:00:00', 163]"
"['2016-03-16T00:00:00', 187]"
"['2016-03-17T00:00:00', 196]"
"['2016-03-18T00:00:00', 178]"
"['2016-03-19T00:00:00', 163]"
"['2016-03-20T00:00:00', 159]"
"['2016-03-21T00:00:00', 164]"
"['2016-03-22T00:00:00', 170]"
"['2016-03-23T00:00:00', 174]"
"['2016-03-24T00:00:00', 183]"
"['2016-03-25T00:00:00', 176]"
"['2016-03-26T00:00:00', 168]"
"['2016-03-27T00:00:00', 174]"
"['2016-03-28T00:00:00', 166]"
"['2016-03-29T00:00:00', 136]"
"['2016-03-30T00:00:00', 139]"
"['2016-03-31T00:00:00', 146]"
"['2016-04-01T00:00:00', 158]"
"['2016-04-02T00:00:00', 173]"
"['2016-04-03T00:00:00', 179]"
"['2016-04-04T00:00:00', 174]"
"['2016-04-05T00:00:00', 193]"
"['2016-04-06T00:00:00', 198]"
"['2016-04-07T00:00:00', 173]"
"['2016-04-08T00:00:00', 159]"
"['2016-04-09T00:00:00', 161]"
"['2016-04-10T00:00:00', 169]"
"['2016-04-11T00:00:00', 172]"
"['2016-04-12T00:00:00', 172]"
